Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,9.44E-12,-5.25E-12,2.413E-11,0.05,5296610169.49153,,
0.02,7.6E-12,-1.196E-11,2.2E-13,0.05,6578947368.42105,,
0.04,1.5E-13,-1.244E-11,-1.895E-11,0.05,333333333333.333,,
0.06,-3.8E-12,-1.467E-11,-1.375E-11,0.05,-13157894736.8421,,
0.08,-1.066E-11,-8.67E-12,1.737E-11,0.05,-4690431519.69981,,
0.1,-2.8E-12,-1.313E-11,5.433E-11,0.05,-17857142857.1429,,
0.12,-9.68E-12,-1.021E-11,2.899E-11,0.05,-5165289256.19835,,
0.14,-8.91E-12,-2.121E-11,2.232E-11,0.05,-5611672278.33894,,
0.16,-2.205E-11,-1.572E-11,-1.303E-11,0.05,-2267573696.14512,,
0.18,-1.926E-11,-1.858E-11,3.728E-11,0.05,-2596053997.92316,,
0.2,-2.563E-11,-1.495E-11,5.123E-11,0.05,-1950838860.71011,,
0.22,-2.032E-11,-1.309E-11,8.072E-11,0.05,-2460629921.25984,,
0.24,-2.288E-11,-1.861E-11,4.323E-11,0.05,-2185314685.31469,,
0.26,-2.818E-11,-1.999E-11,2.514E-11,0.05,-1774308019.87225,,
0.28,-3.287E-11,-2.236E-11,2.663E-11,0.05,-1521143900.21296,,
0.3,-3.775E-11,-1.377E-11,5.761E-11,0.05,-1324503311.25828,,
0.32,-3.041E-11,-2.202E-11,9.094E-11,0.05,-1644195988.16179,,
0.34,-3.876E-11,-1.745E-11,6.478E-11,0.05,-1289989680.08256,,
0.36,-3.726E-11,-2.847E-11,5.834E-11,0.05,-1341921631.7767,,
0.38,-5.092E-11,-2.207E-11,2.627E-11,0.05,-981932443.047918,,
0.4,-4.622E-11,-2.589E-11,7.018E-11,0.05,-1081782778.01817,,
0.42,-5.254E-11,-2.016E-11,8.277E-11,0.05,-951655881.233346,,
0.44,-4.63E-11,-2.06E-11,1.1721E-10,0.05,-1079913606.91145,,
0.46,-5.053E-11,-2.18E-11,7.791E-11,0.05,-989511181.476351,,
0.48,-5.305E-11,-2.519E-11,4.62E-11,0.05,-942507068.803016,,
0.5,-5.919E-11,-2.838E-11,7.648E-11,0.05,-844737286.703835,,
0.52,-6.398E-11,-2.071E-11,9.215E-11,0.05,-781494216.942795,,
0.54,-5.636E-11,-2.551E-11,1.2997E-10,0.05,-887154009.936125,,
0.56,-6.391E-11,-2.399E-11,9.458E-11,0.05,-782350179.940541,,
0.58,-6.141E-11,-3.17E-11,8.775E-11,0.05,-814199641.752158,,
0.6,-7.217E-11,-3.011E-11,5.468E-11,0.05,-692808646.251905,,
0.62,-7.307E-11,-3.073E-11,1.036E-10,0.05,-684275352.401806,,
0.64,-7.627E-11,-2.863E-11,1.2552E-10,0.05,-655565753.24505,,
0.66,-7.349E-11,-2.499E-11,1.4412E-10,0.05,-680364675.46605,,
0.68,-7.442E-11,-3.248E-11,1.1164E-10,0.05,-671862402.579952,,
0.7,-7.954E-11,-3.116E-11,8.625E-11,0.05,-628614533.568016,,
0.72,-8.197E-11,-3.416E-11,1.0268E-10,0.05,-609979260.705136,,
0.74,-8.686E-11,-2.693E-11,1.2126E-10,0.05,-575638959.244762,,
0.76,-7.951E-11,-3.276E-11,1.6015E-10,0.05,-628851716.765187,,
0.78,-8.765E-11,-2.994E-11,1.2595E-10,0.05,-570450656.018254,,
0.8,-8.486E-11,-3.946E-11,1.2233E-10,0.05,-589205750.648126,,
0.82,-9.588E-11,-3.659E-11,8.681E-11,0.05,-521485189.820609,,
0.84,-9.35E-11,-3.871E-11,1.3337E-10,0.05,-534759358.28877,,
0.86,-9.813E-11,-3.463E-11,1.4647E-10,0.05,-509528176.908183,,
0.88,-9.161E-11,-3.432E-11,1.7683E-10,0.05,-545791944.110905,,
0.9,-9.268E-11,-3.57E-11,1.3661E-10,0.05,-539490720.759603,,
0.92,-9.659E-11,-4.086E-11,1.2153E-10,0.05,-517651930.841702,,
0.94,-1.0097E-10,-4.216E-11,1.1462E-10,0.05,-495196593.04744,,
0.96,-1.015E-10,-3.621E-11,1.4578E-10,0.05,-492610837.438424,,
0.98,-9.662E-11,-3.996E-11,1.7522E-10,0.05,-517491202.649555,,
1,-1.017E-10,-3.74E-11,1.5854E-10,0.05,-491642084.562439,,
1.02,-1.0023E-10,-4.88E-11,1.4776E-10,0.05,-498852638.93046,,
1.04,-1.1022E-10,-4.319E-11,1.1474E-10,0.05,-453638178.189076,,
1.06,-1.0525E-10,-4.859E-11,1.5051E-10,0.05,-475059382.422803,,
1.08,-1.096E-10,-4.025E-11,1.6141E-10,0.05,-456204379.562044,,
1.1,-9.998E-11,-4.329E-11,1.998E-10,0.05,-500100020.004001,,
1.12,-1.0433E-10,-4.337E-11,1.5387E-10,0.05,-479248538.291958,,
1.14,-1.027E-10,-4.969E-11,1.4057E-10,0.05,-486854917.234664,,
1.16,-1.077E-10,-4.988E-11,1.2077E-10,0.05,-464252553.389044,,
1.18,-1.0976E-10,-4.899E-11,1.6189E-10,0.05,-455539358.600583,,
1.2,-1.0498E-10,-5.024E-11,1.8481E-10,0.05,-476281196.418365,,
1.22,-1.0441E-10,-4.537E-11,1.8311E-10,0.05,-478881333.205632,,
1.24,-1.0227E-10,-5.7E-11,1.596E-10,0.05,-488901926.273589,,
1.26,-1.1119E-10,-5.39E-11,1.2894E-10,0.05,-449680726.684054,,
1.28,-1.0567E-10,-5.553E-11,1.5675E-10,0.05,-473171193.33775,,
1.3,-1.084E-10,-5.028E-11,1.6632E-10,0.05,-461254612.546125,,
1.32,-9.79E-11,-5.455E-11,2.0259E-10,0.05,-510725229.826353,,
1.34,-1.0319E-10,-5.258E-11,1.6292E-10,0.05,-484543075.879446,,
1.36,-9.877E-11,-6.201E-11,1.5555E-10,0.05,-506226587.02035,,
1.38,-1.0589E-10,-6.105E-11,1.2029E-10,0.05,-472188119.746907,,
1.4,-1.0291E-10,-6.225E-11,1.6691E-10,0.05,-485861432.319502,,
1.42,-1.043E-10,-6.087E-11,1.8346E-10,0.05,-479386385.426654,,
1.44,-9.716E-11,-5.844E-11,1.9792E-10,0.05,-514615067.929189,,
1.46,-9.509E-11,-6.633E-11,1.6457E-10,0.05,-525817646.440215,,
1.48,-9.725E-11,-6.628E-11,1.4126E-10,0.05,-514138817.48072,,
1.5,-9.709E-11,-6.875E-11,1.4686E-10,0.05,-514986095.375425,,
1.52,-9.774E-11,-6.139E-11,1.6842E-10,0.05,-511561285.041948,,
1.54,-8.766E-11,-6.784E-11,2.0238E-10,0.05,-570385580.652521,,
1.56,-9.14E-11,-6.594E-11,1.7057E-10,0.05,-547045951.859956,,
1.58,-8.661E-11,-7.596E-11,1.6076E-10,0.05,-577300542.66251,,
1.6,-9.512E-11,-7.354E-11,1.207E-10,0.05,-525651808.24222,,
1.62,-8.836E-11,-7.546E-11,1.6526E-10,0.05,-565866908.103214,,
1.64,-8.991E-11,-7.352E-11,1.7731E-10,0.05,-556111667.222778,,
1.66,-8.235E-11,-7.27E-11,2.065E-10,0.05,-607164541.590771,,
1.68,-7.954E-11,-7.866E-11,1.6177E-10,0.05,-628614533.568016,,
1.7,-8.235E-11,-7.984E-11,1.3973E-10,0.05,-607164541.590771,,
1.72,-8.172E-11,-8.102E-11,1.496E-10,0.05,-611845325.501713,,
1.74,-8.438E-11,-7.646E-11,1.6539E-10,0.05,-592557478.075373,,
1.76,-7.186E-11,-8.373E-11,1.9927E-10,0.05,-695797383.801837,,
1.78,-7.565E-11,-8.116E-11,1.7015E-10,0.05,-660938532.716457,,
1.8,-7.058E-11,-9.159E-11,1.619E-10,0.05,-708415981.864551,,
1.82,-7.668E-11,-8.951E-11,1.233E-10,0.05,-652060511.215441,,
1.84,-7.182E-11,-9.231E-11,1.6388E-10,0.05,-696184906.711223,,
1.86,-7.27E-11,-9.024E-11,1.7829E-10,0.05,-687757909.215956,,
1.88,-6.522E-11,-8.871E-11,2.0273E-10,0.05,-766636001.226618,,
