Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,-3.1E-12,1.2E-12,-8.54E-12,0.05,-16129032258.0645,,
0.02,-6.67E-12,-1.211E-11,-5.547E-11,0.05,-7496251874.06297,,
0.04,-3.52E-12,-1.686E-11,5.54E-12,0.05,-14204545454.5455,,
0.06,-7.55E-12,-7.94E-12,3.318E-11,0.05,-6622516556.29139,,
0.08,2.54E-12,-5.14E-12,5.741E-11,0.05,19685039370.0787,,
0.1,3.69E-12,-1.904E-11,1.397E-11,0.05,13550135501.355,,
0.12,-6.67E-12,-1.523E-11,-2.44E-11,0.05,-7496251874.06297,,
0.14,-4.62E-12,-1.903E-11,-4.28E-12,0.05,-10822510822.5108,,
0.16,-1.134E-11,-5.75E-12,1.331E-11,0.05,-4409171075.83774,,
0.18,5.73E-12,-1.416E-11,7.014E-11,0.05,8726003490.4014,,
0.2,-3.02E-12,-8.69E-12,2.442E-11,0.05,-16556291390.7285,,
0.22,2.13E-12,-2.227E-11,2.2E-12,0.05,23474178403.7559,,
0.24,-9.68E-12,-2.189E-11,-4.562E-11,0.05,-5165289256.19835,,
0.26,-9.38E-12,-1.874E-11,2.115E-11,0.05,-5330490405.11727,,
0.28,-7.34E-12,-1.576E-11,5.076E-11,0.05,-6811989100.81744,,
0.3,-1.59E-12,-1.119E-11,5.899E-11,0.05,-31446540880.5031,,
0.32,1.71E-12,-2.722E-11,2.517E-11,0.05,29239766081.8713,,
0.34,-1.02E-11,-2.039E-11,-2.075E-11,0.05,-4901960784.31373,,
0.36,-4.33E-12,-2.707E-11,1.365E-11,0.05,-11547344110.8545,,
0.38,-1.245E-11,-1.269E-11,3.233E-11,0.05,-4016064257.02811,,
0.4,4.26E-12,-2.029E-11,8.087E-11,0.05,11737089201.8779,,
0.42,-3.16E-12,-1.605E-11,2.649E-11,0.05,-15822784810.1266,,
0.44,1.35E-12,-2.741E-11,5.53E-12,0.05,37037037037.037,,
0.46,-1.033E-11,-2.927E-11,-3.687E-11,0.05,-4840271055.17909,,
0.48,-1.146E-11,-2.523E-11,2.509E-11,0.05,-4363001745.2007,,
0.5,-6.79E-12,-2.129E-11,5.895E-11,0.05,-7363770250.36819,,
0.52,-2.52E-12,-1.763E-11,5.92E-11,0.05,-19841269841.2698,,
0.54,7.2E-13,-3.197E-11,2.505E-11,0.05,69444444444.4444,,
0.56,-1.165E-11,-2.506E-11,-1.555E-11,0.05,-4291845493.56223,,
0.58,-5.32E-12,-3.106E-11,1.404E-11,0.05,-9398496240.6015,,
0.6,-1.111E-11,-1.76E-11,3.259E-11,0.05,-4500450045.0045,,
0.62,3.09E-12,-2.39E-11,8.956E-11,0.05,16181229773.4628,,
0.64,-3.56E-12,-1.969E-11,3.622E-11,0.05,-14044943820.2247,,
0.66,3.02E-12,-3.227E-11,1.282E-11,0.05,16556291390.7285,,
0.68,-1.014E-11,-3.506E-11,-2.817E-11,0.05,-4930966469.42801,,
0.7,-1.114E-11,-2.924E-11,3.661E-11,0.05,-4488330341.11311,,
0.72,-8.01E-12,-2.779E-11,6.627E-11,0.05,-6242197253.43321,,
0.74,-1.33E-12,-2.309E-11,6.207E-11,0.05,-37593984962.406,,
0.76,1.91E-12,-3.77E-11,2.777E-11,0.05,26178010471.2042,,
0.78,-1.088E-11,-3.275E-11,-2.177E-11,0.05,-4595588235.29412,,
0.8,-2.85E-12,-3.836E-11,1.886E-11,0.05,-17543859649.1228,,
0.82,-9.31E-12,-2.403E-11,3.171E-11,0.05,-5370569280.34372,,
0.84,5.41E-12,-2.9E-11,9.446E-11,0.05,9242144177.44917,,
0.86,-2.9E-12,-2.512E-11,4.085E-11,0.05,-17241379310.3448,,
0.88,6.74E-12,-3.803E-11,2.417E-11,0.05,7418397626.11276,,
0.9,-9.29E-12,-3.883E-11,-2.597E-11,0.05,-5382131324.00431,,
0.92,-4.58E-12,-3.508E-11,3.689E-11,0.05,-10917030567.6856,,
0.94,-7.05E-12,-3.303E-11,6.676E-11,0.05,-7092198581.56028,,
0.96,-3.4E-13,-2.913E-11,6.698E-11,0.05,-147058823529.412,,
0.98,6.25E-12,-4.191E-11,3.171E-11,0.05,8000000000,,
1,-6.77E-12,-3.775E-11,-7.04E-12,0.05,-7385524372.23043,,
1.02,-1.59E-12,-4.395E-11,2.516E-11,0.05,-31446540880.5031,,
1.04,-7.17E-12,-3.439E-11,6.149E-11,0.05,-6973500697.35007,,
1.06,4.29E-12,-3.324E-11,8.932E-11,0.05,11655011655.0117,,
1.08,5.2E-12,-4.795E-11,3.086E-11,0.05,9615384615.38461,,
1.1,-1.69E-12,-4.658E-11,2.44E-12,0.05,-29585798816.568,,
1.12,-7.23E-12,-3.367E-11,3.658E-11,0.05,-6915629322.26833,,
1.14,5.68E-12,-4.079E-11,9.969E-11,0.05,8802816901.40845,,
1.16,1.92E-12,-3.309E-11,4.349E-11,0.05,26041666666.6667,,
1.18,1.088E-11,-5.042E-11,2.047E-11,0.05,4595588235.29412,,
1.2,-1.12E-12,-4.888E-11,-2.499E-11,0.05,-44642857142.8571,,
1.22,-3.57E-12,-4.548E-11,4.085E-11,0.05,-14005602240.8964,,
1.24,-3.48E-12,-4.38E-11,6.983E-11,0.05,-14367816091.954,,
1.26,5.7E-12,-3.817E-11,7.529E-11,0.05,8771929824.5614,,
1.28,9.97E-12,-5.3E-11,4.054E-11,0.05,5015045135.40622,,
1.3,-2.17E-12,-4.947E-11,-4.97E-12,0.05,-23041474654.3779,,
1.32,3.96E-12,-5.502E-11,3.236E-11,0.05,12626262626.2626,,
1.34,-2.44E-12,-4.233E-11,5.296E-11,0.05,-20491803278.6885,,
1.36,1.165E-11,-4.396E-11,1.0356E-10,0.05,4291845493.56223,,
1.38,8.48E-12,-4.323E-11,4.283E-11,0.05,5896226415.09434,,
1.4,1.119E-11,-5.287E-11,1.757E-11,0.05,4468275245.75514,,
1.42,2.35E-12,-5.646E-11,-6.73E-12,0.05,21276595744.6809,,
1.44,-1.8E-13,-4.793E-11,4.024E-11,0.05,-277777777777.778,,
1.46,8.29E-12,-5.086E-11,8.357E-11,0.05,6031363088.0579,,
1.48,1.03E-11,-4.505E-11,6.727E-11,0.05,4854368932.03883,,
1.5,1.407E-11,-6.311E-11,4.273E-11,0.05,3553660270.07818,,
1.52,2E-13,-5.801E-11,-1.548E-11,0.05,250000000000,,
1.54,9.31E-12,-6.368E-11,4.584E-11,0.05,5370569280.34372,,
1.56,3.55E-12,-5.125E-11,5.979E-11,0.05,14084507042.2535,,
1.58,1.871E-11,-5.166E-11,1.075E-10,0.05,2672367717.79797,,
1.6,1.572E-11,-5.435E-11,4.726E-11,0.05,3180661577.60814,,
1.62,1.7E-11,-6.104E-11,2.153E-11,0.05,2941176470.58823,,
1.64,9.68E-12,-6.742E-11,3.49E-12,0.05,5165289256.19835,,
1.66,7.91E-12,-5.56E-11,5.161E-11,0.05,6321112515.80278,,
1.68,1.731E-11,-6.12E-11,8.829E-11,0.05,2888503755.05488,,
1.7,1.872E-11,-5.781E-11,5.936E-11,0.05,2670940170.94017,,
1.72,2.237E-11,-7.261E-11,4.444E-11,0.05,2235136343.31694,,
1.74,8.72E-12,-6.729E-11,-1.695E-11,0.05,5733944954.12844,,
1.76,1.552E-11,-7.374E-11,4.147E-11,0.05,3221649484.53608,,
1.78,1.134E-11,-6.219E-11,6.443E-11,0.05,4409171075.83774,,
1.8,2.342E-11,-6.293E-11,1.0174E-10,0.05,2134927412.46798,,
1.82,2.443E-11,-6.823E-11,4.873E-11,0.05,2046663937.78142,,
1.84,2.19E-11,-7.261E-11,2.067E-11,0.05,2283105022.83105,,
1.86,1.867E-11,-7.868E-11,1.812E-11,0.05,2678093197.64328,,
1.88,1.653E-11,-6.447E-11,4.828E-11,0.05,3024803387.77979,,
1.9,3.006E-11,-7.298E-11,1.0328E-10,0.05,1663339986.69328,,
1.92,2.709E-11,-6.742E-11,5.913E-11,0.05,1845699520.11812,,
1.94,3.301E-11,-8.443E-11,4.023E-11,0.05,1514692517.41896,,
1.96,1.869E-11,-8.295E-11,-1.736E-11,0.05,2675227394.32852,,
1.98,2.557E-11,-8.68E-11,4.154E-11,0.05,1955416503.71529,,
2,2.219E-11,-7.648E-11,6.853E-11,0.05,2253267237.49437,,
2.02,3.357E-11,-7.659E-11,9.864E-11,0.05,1489425081.91838,,
2.04,3.79E-11,-8.417E-11,4.932E-11,0.05,1319261213.72032,,
2.06,3.404E-11,-8.58E-11,1.499E-11,0.05,1468860164.51234,,
2.08,3.107E-11,-9.135E-11,2.139E-11,0.05,1609269391.69617,,
2.1,2.956E-11,-7.637E-11,5.255E-11,0.05,1691474966.1705,,
2.12,4.345E-11,-8.63E-11,1.0421E-10,0.05,1150747986.19102,,
2.14,3.852E-11,-8.168E-11,5.707E-11,0.05,1298026998.96158,,
2.16,4.566E-11,-9.841E-11,4.344E-11,0.05,1095050372.31713,,
2.18,3.301E-11,-9.829E-11,-8.83E-12,0.05,1514692517.41896,,
2.2,3.671E-11,-1.0115E-10,4.917E-11,0.05,1362026695.72324,,
2.22,3.674E-11,-9.332E-11,7.737E-11,0.05,1360914534.56723,,
2.24,5.005E-11,-9.159E-11,1.0098E-10,0.05,999000999.000999,,
2.26,5.251E-11,-1.0346E-10,5.316E-11,0.05,952199581.032184,,
2.28,4.517E-11,-1.0291E-10,1.341E-11,0.05,1106929377.90569,,
2.3,4.718E-11,-1.0928E-10,3.247E-11,0.05,1059771089.44468,,
2.32,4.537E-11,-9.502E-11,5.344E-11,0.05,1102049812.65153,,
2.34,6.096E-11,-1.0509E-10,1.1014E-10,0.05,820209973.753281,,
2.36,5.487E-11,-9.965E-11,6.227E-11,0.05,911244760.342628,,
2.38,6.478E-11,-1.1479E-10,3.808E-11,0.05,771843161.469589,,
2.4,5.113E-11,-1.1745E-10,-5.2E-12,0.05,977899471.934285,,
2.42,5.345E-11,-1.1312E-10,5.404E-11,0.05,935453695.042095,,
2.44,5.625E-11,-1.1231E-10,8.864E-11,0.05,888888888.888889,,
2.46,6.591E-11,-1.0984E-10,8.574E-11,0.05,758610226.065847,,
2.48,7.16E-11,-1.2917E-10,5.382E-11,0.05,698324022.346369,,
2.5,5.758E-11,-1.2391E-10,4.29E-12,0.05,868357068.426537,,
2.52,6.711E-11,-1.3249E-10,4.203E-11,0.05,745045447.772314,,
2.54,6.428E-11,-1.1709E-10,6.09E-11,0.05,777846919.726198,,
2.56,8.074E-11,-1.2565E-10,1.1644E-10,0.05,619271736.437949,,
2.58,7.906E-11,-1.2339E-10,6.132E-11,0.05,632431065.013913,,
2.6,8.467E-11,-1.3788E-10,3.596E-11,0.05,590527931.971182,,
2.62,7.546E-11,-1.4293E-10,2.61E-12,0.05,662602703.41903,,
2.64,7.469E-11,-1.3813E-10,5.374E-11,0.05,669433659.124381,,
2.66,8.226E-11,-1.3886E-10,9.297E-11,0.05,607828835.399951,,
2.68,8.747E-11,-1.3523E-10,8.77E-11,0.05,571624556.990968,,
2.7,9.316E-11,-1.5537E-10,5.547E-11,0.05,536711034.778875,,
2.72,8.233E-11,-1.4853E-10,9.49E-12,0.05,607312036.924572,,
