Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,4.5424E-07,-4.5424E-07,-4.287E-11,0.05,110073.969707644,,
0.02,4.5914E-07,-4.591E-07,-5.455E-11,0.05,108899.246417215,,
0.04,4.6406E-07,-4.6398E-07,-4.995E-11,0.05,107744.688186872,,
0.06,4.6892E-07,-4.6896E-07,-1.349E-11,0.05,106627.996246695,,
0.08,4.7392E-07,-4.7394E-07,1.342E-11,0.05,105503.038487508,,
0.1,4.7894E-07,-4.7886E-07,1.92E-11,0.05,104397.210506535,,
0.12,4.841E-07,-4.8406E-07,7.64E-12,0.05,103284.445362528,,
0.14,4.8928E-07,-4.8922E-07,3.62E-12,0.05,102190.974493133,,
0.16,4.9448E-07,-4.9446E-07,8.8E-12,0.05,101116.324219382,,
0.18,4.998E-07,-4.9978E-07,1.908E-11,0.05,100040.016006403,,
0.2,5.053E-07,-5.053E-07,3.489E-11,0.05,98951.1181476351,,
0.22,5.1088E-07,-5.108E-07,4.848E-11,0.05,97870.3413717507,,
0.24,5.1644E-07,-5.1636E-07,6.141E-11,0.05,96816.6679575556,,
0.26,5.2198E-07,-5.2198E-07,5.871E-11,0.05,95789.1106938963,,
0.28,5.2782E-07,-5.2776E-07,2.924E-11,0.05,94729.263764162,,
0.3,5.3382E-07,-5.3368E-07,-1.59E-12,0.05,93664.5311153572,,
0.32,5.3982E-07,-5.3984E-07,-4.68E-12,0.05,92623.4670816198,,
0.34,5.4592E-07,-5.46E-07,5.08E-12,0.05,91588.511137163,,
0.36,5.523E-07,-5.5226E-07,9.24E-12,0.05,90530.5087814594,,
0.38,5.5864E-07,-5.5862E-07,9.91E-12,0.05,89503.0789059144,,
0.4,5.6518E-07,-5.6516E-07,-3.66E-12,0.05,88467.390919707,,
0.42,5.7192E-07,-5.7178E-07,-1.461E-11,0.05,87424.8146593929,,
0.44,5.7852E-07,-5.7838E-07,-3.266E-11,0.05,86427.4355251331,,
