Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,4.79E-12,-1.3698E-10,1.3604E-10,0.05,10438413361.1691,,
0.02,-2.9E-13,-1.7591E-09,1.7794E-09,0.05,-172413793103.448,,
0.04,-3.74E-12,-3.2995E-09,3.3004E-09,0.05,-13368983957.2192,,
0.06,-2.94E-12,-4.8677E-09,4.8566E-09,0.05,-17006802721.0884,,
0.08,-9.78E-12,-6.4051E-09,6.3801E-09,0.05,-5112474437.62781,,
0.1,-3.98E-12,-7.7765E-09,7.7899E-09,0.05,-12562814070.3518,,
0.12,-5.76E-12,-9.146E-09,9.1604E-09,0.05,-8680555555.55556,,
0.14,-2.01E-12,-1.05102E-08,1.0474E-08,0.05,-24875621890.5473,,
0.16,-4.24E-11,-1.17154E-08,1.16546E-08,0.05,-1179245283.01887,,
0.18,-3.57E-11,-1.28774E-08,1.28644E-08,0.05,-1400560224.08964,,
0.2,-3.349E-11,-1.39736E-08,1.39693E-08,0.05,-1492982979.99403,,
0.22,-3.359E-11,-1.50538E-08,1.50152E-08,0.05,-1488538255.43316,,
0.24,-3.909E-11,-1.60262E-08,1.59757E-08,0.05,-1279099513.94218,,
0.26,-1.72E-11,-1.69558E-08,1.69005E-08,0.05,-2906976744.18605,,
0.28,-3.293E-11,-1.79412E-08,1.79041E-08,0.05,-1518372304.88916,,
0.3,-1.339E-11,-1.88752E-08,1.88409E-08,0.05,-3734129947.72218,,
0.32,-9.73E-12,-1.98614E-08,1.98039E-08,0.05,-5138746145.94039,,
0.34,-1.536E-11,-2.0685E-08,2.068E-08,0.05,-3255208333.33333,,
0.36,-2.924E-11,-2.17088E-08,2.16896E-08,0.05,-1709986320.10944,,
0.38,-6.59E-12,-2.25134E-08,2.24907E-08,0.05,-7587253414.26404,,
0.4,-3.61E-12,-2.3396E-08,2.34214E-08,0.05,-13850415512.4654,,
0.42,-2.039E-11,-2.43824E-08,2.42945E-08,0.05,-2452182442.37371,,
0.44,4.04E-12,-2.52258E-08,2.51739E-08,0.05,12376237623.7624,,
0.46,-2.047E-11,-2.61328E-08,2.60368E-08,0.05,-2442598925.25647,,
0.48,3.83E-12,-2.6917E-08,2.69295E-08,0.05,13054830287.2063,,
0.5,-8.69E-12,-2.77784E-08,2.77869E-08,0.05,-5753739930.95512,,
0.52,-2.685E-11,-2.86158E-08,2.86157E-08,0.05,-1862197392.92365,,
0.54,6E-13,-2.95298E-08,2.94804E-08,0.05,83333333333.3333,,
0.56,-3.6E-12,-3.02766E-08,3.0158E-08,0.05,-13888888888.8889,,
0.58,-3.51E-12,-3.10548E-08,3.10186E-08,0.05,-14245014245.0142,,
0.6,1.67E-12,-3.19254E-08,3.18545E-08,0.05,29940119760.479,,
0.62,-3.273E-11,-3.2772E-08,3.27077E-08,0.05,-1527650473.57165,,
0.64,-3.58E-12,-3.36536E-08,3.36104E-08,0.05,-13966480446.9274,,
0.66,-8.66E-12,-3.45376E-08,3.44839E-08,0.05,-5773672055.42725,,
0.68,7.54E-12,-3.51848E-08,3.52839E-08,0.05,6631299734.74801,,
0.7,-5.319E-11,-3.60496E-08,3.60529E-08,0.05,-940026320.736981,,
0.72,-3.759E-11,-3.6863E-08,3.68198E-08,0.05,-1330140994.94546,,
0.74,-8.92E-12,-3.75018E-08,3.75206E-08,0.05,-5605381165.91928,,
0.76,-2.687E-11,-3.82084E-08,3.8208E-08,0.05,-1860811313.73279,,
0.78,-1.518E-11,-3.90424E-08,3.89967E-08,0.05,-3293807641.63373,,
0.8,2.68E-12,-3.985E-08,3.98436E-08,0.05,18656716417.9104,,
0.82,-2.763E-11,-4.05728E-08,4.05452E-08,0.05,-1809627216.79334,,
0.84,2.311E-11,-4.13768E-08,4.13057E-08,0.05,2163565556.03635,,
0.86,-7.1E-12,-4.20834E-08,4.20599E-08,0.05,-7042253521.12676,,
0.88,1.242E-11,-4.2978E-08,4.28697E-08,0.05,4025764895.33011,,
0.9,-4.618E-11,-4.35488E-08,4.35885E-08,0.05,-1082719792.1178,,
0.92,-1.044E-11,-4.43884E-08,4.4335E-08,0.05,-4789272030.65134,,
0.94,-5.121E-11,-4.50292E-08,4.50411E-08,0.05,-976371802.382347,,
0.96,-1.8E-13,-4.58688E-08,4.57691E-08,0.05,-277777777777.778,,
0.98,5.35E-12,-4.6542E-08,4.65201E-08,0.05,9345794392.52337,,
1,-1.016E-11,-4.73096E-08,4.72274E-08,0.05,-4921259842.51968,,
1.02,5.91E-12,-4.79684E-08,4.78977E-08,0.05,8460236886.63283,,
1.04,-6.04E-12,-4.87418E-08,4.86201E-08,0.05,-8278145695.36424,,
1.06,1.63E-12,-4.92936E-08,4.92864E-08,0.05,30674846625.7669,,
1.08,-2.19E-11,-4.9938E-08,5.00344E-08,0.05,-2283105022.83105,,
1.1,-4.16E-12,-5.0665E-08,5.06139E-08,0.05,-12019230769.2308,,
1.12,-1.167E-11,-5.13122E-08,5.13637E-08,0.05,-4284490145.67267,,
1.14,1.116E-11,-5.2095E-08,5.20681E-08,0.05,4480286738.35125,,
1.16,-7.28E-12,-5.27314E-08,5.26765E-08,0.05,-6868131868.13187,,
1.18,-2.53E-12,-5.33898E-08,5.33455E-08,0.05,-19762845849.8024,,
1.2,2.85E-12,-5.40518E-08,5.40357E-08,0.05,17543859649.1228,,
1.22,1.068E-11,-5.45958E-08,5.45642E-08,0.05,4681647940.07491,,
1.24,1.309E-11,-5.53122E-08,5.52573E-08,0.05,3819709702.06264,,
1.26,2.7819E-10,-5.59022E-08,5.58997E-08,0.05,179733275.818685,,
1.28,-3.13E-11,-5.65458E-08,5.65245E-08,0.05,-1597444089.45687,,
1.3,4.9E-13,-5.71082E-08,5.70397E-08,0.05,102040816326.531,,
1.32,-1.095E-11,-5.76866E-08,5.77488E-08,0.05,-4566210045.6621,,
1.34,1.754E-11,-5.8451E-08,5.8497E-08,0.05,2850627137.97035,,
1.36,-1.341E-11,-5.91412E-08,5.92065E-08,0.05,-3728560775.54064,,
1.38,-3.336E-11,-5.9812E-08,5.98033E-08,0.05,-1498800959.23261,,
1.4,-9.82E-12,-6.0353E-08,6.03436E-08,0.05,-5091649694.50102,,
1.42,9.22E-12,-6.1123E-08,6.10695E-08,0.05,5422993492.40781,,
1.44,-7.96E-12,-6.17358E-08,6.16369E-08,0.05,-6281407035.17588,,
1.46,2.8782E-10,-6.20894E-08,6.21832E-08,0.05,173719685.914808,,
1.48,1.503E-11,-6.28794E-08,6.28949E-08,0.05,3326679973.38656,,
1.5,-3.373E-11,-6.35076E-08,6.3432E-08,0.05,-1482359916.98784,,
1.52,-2.077E-11,-6.41038E-08,6.40962E-08,0.05,-2407318247.47232,,
1.54,-8.59E-12,-6.47064E-08,6.47345E-08,0.05,-5820721769.49942,,
1.56,-1.836E-11,-6.53186E-08,6.5288E-08,0.05,-2723311546.84096,,
1.58,6.4E-12,-6.59648E-08,6.59505E-08,0.05,7812500000,,
1.6,3.629E-11,-6.64014E-08,6.63505E-08,0.05,1377790024.80022,,
1.62,4.34E-12,-6.70516E-08,6.70276E-08,0.05,11520737327.1889,,
1.64,-3.083E-11,-6.76048E-08,6.75517E-08,0.05,-1621796951.02173,,
1.66,9.8E-13,-6.81676E-08,6.81744E-08,0.05,51020408163.2653,,
1.68,-6.475E-11,-6.87992E-08,6.88445E-08,0.05,-772200772.200772,,
1.7,5.886E-11,-6.93718E-08,6.94193E-08,0.05,849473326.537547,,
1.72,3.98E-12,-6.99394E-08,6.98707E-08,0.05,12562814070.3518,,
1.74,1.082E-11,-7.05692E-08,7.05238E-08,0.05,4621072088.72458,,
1.76,-1.9E-12,-7.11208E-08,7.11693E-08,0.05,-26315789473.6842,,
1.78,-1.801E-11,-7.17026E-08,7.17326E-08,0.05,-2776235424.76402,,
1.8,9.19E-12,-7.23864E-08,7.23464E-08,0.05,5440696409.14037,,
1.82,-2.377E-11,-7.28764E-08,7.28782E-08,0.05,-2103491796.38199,,
1.84,-9.3E-13,-7.33798E-08,7.34477E-08,0.05,-53763440860.2151,,
1.86,-9.96E-12,-7.39858E-08,7.40251E-08,0.05,-5020080321.28514,,
1.88,7.14E-12,-7.45446E-08,7.46525E-08,0.05,7002801120.44818,,
1.9,-1.275E-11,-7.50568E-08,7.5074E-08,0.05,-3921568627.45098,,
1.92,2.127E-11,-7.5592E-08,7.56312E-08,0.05,2350728725.90503,,
1.94,-2.853E-11,-7.62308E-08,7.62094E-08,0.05,-1752541184.71784,,
1.96,3.44E-12,-7.6616E-08,7.6691E-08,0.05,14534883720.9302,,
1.98,4.837E-11,-7.71858E-08,7.715E-08,0.05,1033698573.49597,,
2,-5.23E-11,-7.76828E-08,7.75674E-08,0.05,-956022944.550669,,
2.02,-3.906E-11,-7.81232E-08,7.81477E-08,0.05,-1280081925.24322,,
2.04,1.532E-11,-7.88896E-08,7.88669E-08,0.05,3263707571.80157,,
2.06,-1.941E-11,-7.94382E-08,7.93682E-08,0.05,-2575991756.82638,,
2.08,3.748E-11,-7.99018E-08,7.99153E-08,0.05,1334044823.90608,,
2.1,-1.427E-11,-8.04574E-08,8.042E-08,0.05,-3503854239.66363,,
2.12,-5.223E-11,-8.09938E-08,8.07889E-08,0.05,-957304231.284702,,
2.14,-5.09E-12,-8.14022E-08,8.14747E-08,0.05,-9823182711.19843,,
2.16,-6.42E-12,-8.19218E-08,8.19607E-08,0.05,-7788161993.76947,,
2.18,-5.55E-12,-8.2575E-08,8.25086E-08,0.05,-9009009009.00901,,
2.2,-8.104E-11,-8.31016E-08,8.30763E-08,0.05,-616979269.496545,,
2.22,1.272E-11,-8.35792E-08,8.35812E-08,0.05,3930817610.06289,,
2.24,3.354E-11,-8.4082E-08,8.42151E-08,0.05,1490757304.71079,,
2.26,-7.51E-12,-8.4806E-08,8.47519E-08,0.05,-6657789613.8482,,
2.28,3.215E-11,-8.52636E-08,8.52703E-08,0.05,1555209953.3437,,
2.3,4.014E-11,-8.58732E-08,8.58178E-08,0.05,1245640259.09317,,
2.32,-1.854E-11,-8.62142E-08,8.63644E-08,0.05,-2696871628.91046,,
2.34,3.64E-12,-8.70802E-08,8.69345E-08,0.05,13736263736.2637,,
2.36,3E-13,-8.74594E-08,8.74238E-08,0.05,166666666666.667,,
2.38,-4.923E-11,-8.80406E-08,8.79339E-08,0.05,-1015640869.38858,,
2.4,-5.766E-11,-8.86534E-08,8.85831E-08,0.05,-867152271.938952,,
2.42,-2.382E-11,-8.9074E-08,8.9087E-08,0.05,-2099076406.38119,,
2.44,-2.92E-11,-8.95138E-08,8.94287E-08,0.05,-1712328767.12329,,
