Vg,Id,Is,Ig,Vd,Rt,Ib,I_handle
0,7.09E-12,-7.98E-12,-5.664E-11,0.05,7052186177.71509,,
0.02,-1.173E-11,-1.255E-11,-1.52E-12,0.05,-4262574595.05541,,
0.04,-1.598E-11,-7.54E-12,2.797E-11,0.05,-3128911138.92365,,
0.06,-9.09E-12,-6.73E-12,5.048E-11,0.05,-5500550055.0055,,
0.08,-7.94E-12,-1.829E-11,1.588E-11,0.05,-6297229219.14358,,
0.1,-1.165E-11,-2.045E-11,-8.95E-12,0.05,-4291845493.56223,,
0.12,-1.187E-11,-2.558E-11,1.43E-12,0.05,-4212299915.754,,
0.14,-1.675E-11,-1.47E-11,3.094E-11,0.05,-2985074626.86567,,
0.16,-5.4E-13,-2.451E-11,7.858E-11,0.05,-92592592592.5926,,
0.18,-5.39E-12,-1.95E-11,5.42E-11,0.05,-9276437847.86642,,
0.2,9.6E-13,-3.673E-11,3.936E-11,0.05,52083333333.3333,,
0.22,-1.555E-11,-3.629E-11,-1.019E-11,0.05,-3215434083.60129,,
0.24,-1.088E-11,-4.07E-11,3.916E-11,0.05,-4595588235.29412,,
0.26,-1.633E-11,-3.196E-11,6.518E-11,0.05,-3061849357.01164,,
0.28,-6.39E-12,-3.252E-11,9.511E-11,0.05,-7824726134.58529,,
0.3,-9.28E-12,-4.113E-11,4.891E-11,0.05,-5387931034.48276,,
0.32,-1.991E-11,-4.472E-11,1.407E-11,0.05,-2511300853.84229,,
0.34,-1.987E-11,-5.242E-11,3.032E-11,0.05,-2516356316.05435,,
0.36,-2.557E-11,-4.002E-11,5.714E-11,0.05,-1955416503.71529,,
0.38,-9.88E-12,-4.915E-11,1.061E-10,0.05,-5060728744.93927,,
0.4,-1.569E-11,-4.394E-11,7.944E-11,0.05,-3186743148.50223,,
0.42,-7.44E-12,-6.104E-11,6.669E-11,0.05,-6720430107.52688,,
0.44,-2.089E-11,-5.968E-11,2.076E-11,0.05,-2393489707.99426,,
0.46,-1.622E-11,-6.448E-11,7.326E-11,0.05,-3082614056.7201,,
0.48,-2.157E-11,-5.658E-11,9.404E-11,0.05,-2318034306.90774,,
0.5,-8.32E-12,-5.768E-11,1.2867E-10,0.05,-6009615384.61539,,
0.52,-8.75E-12,-6.576E-11,7.969E-11,0.05,-5714285714.28571,,
0.54,-1.343E-11,-6.996E-11,5.17E-11,0.05,-3723008190.61802,,
0.56,-1.737E-11,-7.533E-11,5.72E-11,0.05,-2878526194.58837,,
0.58,-2.246E-11,-6.284E-11,8.853E-11,0.05,-2226179875.33393,,
0.6,-1.021E-11,-7.139E-11,1.3121E-10,0.05,-4897159647.4045,,
0.62,-1.731E-11,-6.844E-11,9.592E-11,0.05,-2888503755.05488,,
0.64,-1.09E-11,-8.358E-11,8.313E-11,0.05,-4587155963.30275,,
0.66,-2.73E-11,-8.275E-11,3.735E-11,0.05,-1831501831.50183,,
0.68,-2.511E-11,-8.604E-11,9.188E-11,0.05,-1991238550.37834,,
0.7,-2.732E-11,-7.829E-11,1.1565E-10,0.05,-1830161054.17277,,
0.72,-1.493E-11,-7.77E-11,1.4627E-10,0.05,-3348961821.83523,,
0.74,-1.221E-11,-8.583E-11,1.0374E-10,0.05,-4095004095.0041,,
0.76,-1.925E-11,-8.95E-11,7.133E-11,0.05,-2597402597.4026,,
0.78,-2.154E-11,-9.508E-11,8.195E-11,0.05,-2321262766.94522,,
0.8,-2.696E-11,-8.292E-11,1.0903E-10,0.05,-1854599406.52819,,
0.82,-1.216E-11,-8.994E-11,1.5767E-10,0.05,-4111842105.26316,,
0.84,-1.904E-11,-8.568E-11,1.2048E-10,0.05,-2626050420.16807,,
0.86,-1.345E-11,-1.0076E-10,1.0797E-10,0.05,-3717472118.95911,,
0.88,-2.965E-11,-9.88E-11,6.119E-11,0.05,-1686340640.80944,,
0.9,-2.327E-11,-1.032E-10,1.1654E-10,0.05,-2148689299.52729,,
0.92,-2.909E-11,-9.356E-11,1.3261E-10,0.05,-1718803712.61602,,
0.94,-1.807E-11,-9.485E-11,1.6649E-10,0.05,-2767017155.50636,,
0.96,-1.81E-11,-9.924E-11,1.1736E-10,0.05,-2762430939.22652,,
0.98,-2.478E-11,-1.0368E-10,8.641E-11,0.05,-2017756255.04439,,
1,-2.435E-11,-1.0909E-10,9.753E-11,0.05,-2053388090.34908,,
1.02,-2.748E-11,-9.682E-11,1.2327E-10,0.05,-1819505094.61426,,
1.04,-1.426E-11,-1.0261E-10,1.6755E-10,0.05,-3506311360.44881,,
1.06,-2.007E-11,-9.725E-11,1.3211E-10,0.05,-2491280518.18635,,
1.08,-1.548E-11,-1.1198E-10,1.1719E-10,0.05,-3229974160.20672,,
1.1,-3.257E-11,-1.1052E-10,6.889E-11,0.05,-1535155050.66012,,
1.12,-2.909E-11,-1.1302E-10,1.2579E-10,0.05,-1718803712.61602,,
1.14,-3.243E-11,-1.0458E-10,1.5193E-10,0.05,-1541782300.33919,,
1.16,-2.211E-11,-1.0204E-10,1.7718E-10,0.05,-2261420171.86793,,
1.18,-2.035E-11,-1.0948E-10,1.3334E-10,0.05,-2457002457.00246,,
1.2,-2.25E-11,-1.0985E-10,1.0725E-10,0.05,-2222222222.22222,,
1.22,-2.558E-11,-1.1529E-10,1.1032E-10,0.05,-1954652071.9312,,
1.24,-3.125E-11,-1.0352E-10,1.3337E-10,0.05,-1600000000,,
1.26,-1.773E-11,-1.0894E-10,1.7573E-10,0.05,-2820078962.21094,,
1.28,-2.418E-11,-1.0314E-10,1.4413E-10,0.05,-2067824648.46981,,
1.3,-2.006E-11,-1.1879E-10,1.2459E-10,0.05,-2492522432.70189,,
1.32,-3.633E-11,-1.1358E-10,7.759E-11,0.05,-1376273052.57363,,
1.34,-2.949E-11,-1.1686E-10,1.3121E-10,0.05,-1695489996.60902,,
1.36,-3.459E-11,-1.0724E-10,1.5578E-10,0.05,-1445504481.06389,,
1.38,-2.201E-11,-1.0437E-10,1.8355E-10,0.05,-2271694684.23444,,
1.4,-1.966E-11,-1.0832E-10,1.3583E-10,0.05,-2543234994.91353,,
