Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,9.44e-12,-5.25e-12,2.413e-11,0.05,5296610169.49153,0.00944,24.130000000000003,-9.2e-11
0.02,7.6e-12,-1.196e-11,2.2e-13,0.05,6578947368.42105,0.0076,0.22,-2.3225e-10
0.04,1.5e-13,-1.244e-11,-1.895e-11,0.05,333333333333.333,0.00015,18.95,-2.8500000000000005e-10
0.06,-3.8e-12,-1.467e-11,-1.375e-11,0.05,-13157894736.8421,-0.0038,13.75,-2.7024999999999997e-10
0.08,-1.066e-11,-8.67e-12,1.737e-11,0.05,-4690431519.69981,-0.010660000000000001,17.37,2.4999999999999978e-11
0.1,-2.8e-12,-1.313e-11,5.433e-11,0.05,-17857142857.1429,-0.0028,54.33,2.449999999999971e-11
0.12,-9.68e-12,-1.021e-11,2.899e-11,0.05,-5165289256.19835,-0.009680000000000001,28.990000000000002,-1.5275000000000022e-10
0.14,-8.91e-12,-2.121e-11,2.232e-11,0.05,-5611672278.33894,-0.00891,22.32,-3.092500000000005e-10
0.16,-2.205e-11,-1.572e-11,-1.303e-11,0.05,-2267573696.14512,-0.02205,13.03,-2.5875000000000017e-10
0.18,-1.926e-11,-1.858e-11,3.728e-11,0.05,-2596053997.92316,-0.01926,37.28,-8.949999999999954e-11
0.2,-2.563e-11,-1.495e-11,5.123e-11,0.05,-1950838860.71011,-0.02563,51.23,-2.649999999999965e-11
0.22,-2.032e-11,-1.309e-11,8.072e-11,0.05,-2460629921.25984,-0.02032,80.72,6.87500000000001e-11
0.24,-2.288e-11,-1.861e-11,4.323e-11,0.05,-2185314685.31469,-0.02288,43.230000000000004,-1.9649999999999979e-10
0.26,-2.818e-11,-1.999e-11,2.514e-11,0.05,-1774308019.87225,-0.02818,25.14,-2.497499999999998e-10
0.28,-3.287e-11,-2.236e-11,2.663e-11,0.05,-1521143900.21296,-0.032869999999999996,26.63,-2.392500000000001e-10
0.3,-3.775e-11,-1.377e-11,5.761e-11,0.05,-1324503311.25828,-0.03775,57.61,6.149999999999912e-11
0.32,-3.041e-11,-2.202e-11,9.094e-11,0.05,-1644195988.16179,-0.030410000000000003,90.94,-2.5249999999999887e-11
0.34,-3.876e-11,-1.745e-11,6.478e-11,0.05,-1289989680.08256,-0.038759999999999996,64.78,-1.7124999999999938e-10
0.36,-3.726e-11,-2.847e-11,5.834e-11,0.05,-1341921631.7767,-0.03726,58.34,-3.0399999999999895e-10
0.38,-5.092e-11,-2.207e-11,2.627e-11,0.05,-981932443.047918,-0.05092,26.27,-2.2399999999999985e-10
0.4,-4.622e-11,-2.589e-11,7.018e-11,0.05,-1081782778.01817,-0.046220000000000004,70.17999999999999,-4.050000000000084e-11
0.42,-5.254e-11,-2.016e-11,8.277e-11,0.05,-951655881.233346,-0.05254,82.77,-2.0000000000006135e-12
0.44,-4.63e-11,-2.06e-11,1.1721e-10,0.05,-1079913606.91145,-0.0463,117.21000000000001,5.0249999999999904e-11
0.46,-5.053e-11,-2.18e-11,7.791e-11,0.05,-989511181.476351,-0.05053,77.91000000000001,-1.6875000000000006e-10
0.48,-5.305e-11,-2.519e-11,4.62e-11,0.05,-942507068.803016,-0.05305,46.2,-2.1650000000000003e-10
0.5,-5.919e-11,-2.838e-11,7.648e-11,0.05,-844737286.703835,-0.059190000000000006,76.48,-2.7324999999999965e-10
0.52,-6.398e-11,-2.071e-11,9.215e-11,0.05,-781494216.942795,-0.06398,92.15,7.07500000000002e-11
0.54,-5.636e-11,-2.551e-11,1.2997e-10,0.05,-887154009.936125,-0.05636,129.97,1.7499999999997096e-12
0.56,-6.391e-11,-2.399e-11,9.458e-11,0.05,-782350179.940541,-0.06391000000000001,94.58,-1.2624999999999881e-10
0.58,-6.141e-11,-3.17e-11,8.775e-11,0.05,-814199641.752158,-0.06141,87.75,-2.06499999999998e-10
0.6,-7.217e-11,-3.011e-11,5.468e-11,0.05,-692808646.251905,-0.07217,54.68,-2.9149999999999987e-10
0.62,-7.307e-11,-3.073e-11,1.036e-10,0.05,-684275352.401806,-0.07307,103.6,-1.024999999999998e-10
0.64,-7.627e-11,-2.863e-11,1.2552e-10,0.05,-655565753.24505,-0.07627,125.52,-1.0499999999999912e-11
0.66,-7.349e-11,-2.499e-11,1.4412e-10,0.05,-680364675.46605,-0.07349,144.11999999999998,4.624999999999971e-11
0.68,-7.442e-11,-3.248e-11,1.1164e-10,0.05,-671862402.579952,-0.07442,111.64,-1.5125000000000131e-10
0.7,-7.954e-11,-3.116e-11,8.625e-11,0.05,-628614533.568016,-0.07954,86.25,-1.8875000000000082e-10
0.72,-8.197e-11,-3.416e-11,1.0268e-10,0.05,-609979260.705136,-0.08197,102.68,-1.8299999999999989e-10
0.74,-8.686e-11,-2.693e-11,1.2126e-10,0.05,-575638959.244762,-0.08685999999999999,121.26,6.150000000000025e-11
0.76,-7.951e-11,-3.276e-11,1.6015e-10,0.05,-628851716.765187,-0.07951000000000001,160.15,-1.975000000000006e-11
0.78,-8.765e-11,-2.994e-11,1.2595e-10,0.05,-570450656.018254,-0.08765,125.94999999999999,-1.337500000000003e-10
0.8,-8.486e-11,-3.946e-11,1.2233e-10,0.05,-589205750.648126,-0.08486,122.33000000000001,-2.0575000000000252e-10
0.82,-9.588e-11,-3.659e-11,8.681e-11,0.05,-521485189.820609,-0.09587999999999999,86.81,-2.1600000000000174e-10
0.84,-9.35e-11,-3.871e-11,1.3337e-10,0.05,-534759358.28877,-0.0935,133.37,-5.625000000000009e-11
0.86,-9.813e-11,-3.463e-11,1.4647e-10,0.05,-509528176.908183,-0.09813,146.47,4.7250000000000225e-11
0.88,-9.161e-11,-3.432e-11,1.7683e-10,0.05,-545791944.110905,-0.09161,176.83,1.3624999999999981e-10
0.9,-9.268e-11,-3.57e-11,1.3661e-10,0.05,-539490720.759603,-0.09268,136.61,-1.2450000000000014e-10
0.92,-9.659e-11,-4.086e-11,1.2153e-10,0.05,-517651930.841702,-0.09659,121.52999999999999,-2.072500000000005e-10
0.94,-1.0097e-10,-4.216e-11,1.1462e-10,0.05,-495196593.04744,-0.10097,114.62,-1.2275000000000022e-10
0.96,-1.015e-10,-3.621e-11,1.4578e-10,0.05,-492610837.438424,-0.10149999999999999,145.78,1.0875000000000006e-10
0.98,-9.662e-11,-3.996e-11,1.7522e-10,0.05,-517491202.649555,-0.09662,175.22,-4.999999999999879e-12
1.0,-1.017e-10,-3.74e-11,1.5854e-10,0.05,-491642084.562439,-0.1017,158.54,-9.025000000000018e-11
1.02,-1.0023e-10,-4.88e-11,1.4776e-10,0.05,-498852638.93046,-0.10023,147.76,-2.1299999999999957e-10
1.04,-1.1022e-10,-4.319e-11,1.1474e-10,0.05,-453638178.189076,-0.11022,114.74,-1.2550000000000003e-10
1.06,-1.0525e-10,-4.859e-11,1.5051e-10,0.05,-475059382.422803,-0.10525,150.51000000000002,1.549999999999979e-11
1.08,-1.096e-10,-4.025e-11,1.6141e-10,0.05,-456204379.562044,-0.1096,161.41,1.317500000000001e-10
1.1,-9.998e-11,-4.329e-11,1.998e-10,0.05,-500100020.004001,-0.09998,199.8,1.3174999999999967e-10
1.12,-1.0433e-10,-4.337e-11,1.5387e-10,0.05,-479248538.291958,-0.10433,153.87,-6.799999999999894e-11
1.14,-1.027e-10,-4.969e-11,1.4057e-10,0.05,-486854917.234664,-0.1027,140.57000000000002,-8.424999999999834e-11
1.16,-1.077e-10,-4.988e-11,1.2077e-10,0.05,-464252553.389044,-0.1077,120.76999999999998,-1.7649999999999955e-10
1.18,-1.0976e-10,-4.899e-11,1.6189e-10,0.05,-455539358.600583,-0.10976000000000001,161.89,6.800000000000018e-11
1.2,-1.0498e-10,-5.024e-11,1.8481e-10,0.05,-476281196.418365,-0.10497999999999999,184.81,1.3374999999999987e-10
